platform,title,link,price,location,price_clean
krisha,1-комнатная квартира · 36 м² · 3/9 этаж,https://krisha.kz/a/show/1004881551?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=605,18 499 999 〒,"Есильский р-н, Кургальжинское шоссе 22/1",18499999
krisha,2-комнатная квартира · 61.4 м² · 8/9 этаж,https://krisha.kz/a/show/1004790811?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=606,26 000 000 〒,"Алматы р-н, проспект Шакарима — Трц Аружан",26000000
krisha,2-комнатная квартира · 46.85 м² · 12/17 этаж,https://krisha.kz/a/show/1004514338?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=607,35 000 000 〒,"Есильский р-н, Бухар Жырау 33 — Касым Кайсенов",35000000
krisha,2-комнатная квартира · 62 м² · 7/13 этаж,https://krisha.kz/a/show/1005416147?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=608,80 000 000 〒,"Медеуский р-н, Кармысова 84/2",80000000
krisha,2-комнатная квартира · 61 м² · 11/12 этаж,https://krisha.kz/a/show/1004507880?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=609,39 000 000 〒,"Есильский р-н, Сыганак 54/1 — Сыганак-Сауран",39000000
krisha,2-комнатная квартира · 72.92 м² · 10/12 этаж,https://krisha.kz/a/show/1004485116?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=610,30 000 000 〒,"Сарайшык р-н, Жумекен Нажимеденов 38",30000000
krisha,1-комнатная квартира · 36 м² · 8/9 этаж,https://krisha.kz/a/show/1004275114?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=611,31 700 000 〒,"Ауэзовский р-н, мкр Таугуль, Мустай Карима — Жандосова Саина",31700000
krisha,3-комнатная квартира · 106 м² · 3/5 этаж,https://krisha.kz/a/show/1004034938?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=612,48 500 000 〒,"Сарыарка р-н, Сейфуллина 7 — Кумисбекова",48500000
krisha,3-комнатная квартира · 64 м² · 5/5 этаж,https://krisha.kz/a/show/1003370617?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=613,36 500 000 〒,"Жетысуский р-н, мкр Айнабулак-3 124",36500000
krisha,2-комнатная квартира · 71 м² · 3/9 этаж,https://krisha.kz/a/show/1003322235?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=614,34 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла 340/5",34000000
krisha,3-комнатная квартира · 64 м² · 2/6 этаж,https://krisha.kz/a/show/1003094907?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=615,28 000 000 〒,"Алматы р-н, Кайрат Рыскулбекова 4/1",28000000
krisha,3-комнатная квартира · 117.9 м² · 4/5 этаж,https://krisha.kz/a/show/1005104791?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=616,34 191 000 〒,"мкр. Алтын орда, Мустафа Шоқай 369",34191000
krisha,4-комнатная квартира · 125 м² · 9/13 этаж,https://krisha.kz/a/show/1003033606?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=617,123 000 000 〒,"Алмалинский р-н, Толе би 189/3 — Гагарина",123000000
krisha,2-комнатная квартира · 52.6 м² · 2/14 этаж,https://krisha.kz/a/show/1002067312?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=618,38 990 000 〒,"Есильский р-н, Хусейн бен Талал 41 — Больница УДП",38990000
krisha,3-комнатная квартира · 179 м² · 9/17 этаж,https://krisha.kz/a/show/1001618427?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=619,81 700 000 〒,"Алматы р-н, Кенесары 69а",81700000
krisha,3-комнатная квартира · 93.7 м² · 4/13 этаж,https://krisha.kz/a/show/1001323488?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=620,75 500 000 〒,"Алмалинский р-н, Муратбаева 14/6 — Райымбека",75500000
krisha,3-комнатная квартира · 126 м² · 10/18 этаж,https://krisha.kz/a/show/1005613072?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=621,95 000 000 〒,"Алмалинский р-н, Курмангазы 145",95000000
krisha,3-комнатная квартира · 75 м² · 5/5 этаж,https://krisha.kz/a/show/1005609526?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=622,25 500 000 〒,Байтурсынова 86,25500000
krisha,3-комнатная квартира · 62.3 м² · 4/10 этаж,https://krisha.kz/a/show/1003581654?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=623,36 000 000 〒,"Есильский р-н, Алихан Бокейхан 10",36000000
krisha,3-комнатная квартира · 62.3 м² · 1/2 этаж,https://krisha.kz/a/show/761113139?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=624,25 000 000 〒,Ыклас (Табачная) 1,25000000
krisha,3-комнатная квартира · 77.5 м²,https://krisha.kz/a/show/1003659828?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=625,от 31 387 500 〒,"Нура р-н, Улица Култегин, 2",31387500
krisha,2-комнатная квартира · 62.43 м²,https://krisha.kz/a/show/1002040913?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=626,от 19 977 600 〒,"160 квартал, 32-ая улица",19977600
krisha,1-комнатная квартира · 39.26 м²,https://krisha.kz/a/show/1000673024?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=627,от 24 773 060 〒,"Сарайшык р-н, ул. Магжана Жумабаева, 38",24773060
